Region,Medal_Females,Medal_Males,Medal_Total,Percent_Female,Percent_Male,GDP,GDPpC,WPS Index rank,WPS Index value
Argentina,17.0,24.0,41.0,41.46,58.54,525.727,12413.7,48.0,0.775
Armenia,1.0,6.0,7.0,14.29,85.71,10.978,3772.2,82.0,0.72
Australia,108.0,94.0,202.0,53.47,46.53,1358.182,58508.3,22.0,0.8440000000000001
Austria,15.0,40.0,55.0,27.27,72.73,416.818,48594.2,6.0,0.884
Azerbaijan,6.0,22.0,28.0,21.43,78.57,55.439,5925.5,123.0,0.65
Bahrain,3.0,0.0,3.0,100.0,0.0,30.795,22928.7,83.0,0.7190000000000001
Belarus,30.0,14.0,44.0,68.18,31.82,61.024,6468.5,38.0,0.804
Belgium,4.0,20.0,24.0,16.67,83.33,503.455,45185.2,27.0,0.8270000000000001
Brazil,25.0,84.0,109.0,22.94,77.06,2101.818,10460.5,98.0,0.7
Bulgaria,8.0,1.0,9.0,88.89,11.11,55.475,7621.1,39.0,0.8009999999999999
Burundi,1.0,0.0,1.0,100.0,0.0,2.668,256.7,139.0,0.616
Canada,183.0,117.0,300.0,61.0,39.0,1660.0,47111.3,11.0,0.8759999999999999
China,170.0,100.0,270.0,62.96,37.04,9390.0,6487.2,76.0,0.725
Colombia,8.0,8.0,16.0,50.0,50.0,313.273,6704.5,104.0,0.691
Croatia,5.0,58.0,63.0,7.94,92.06,58.605,13724.5,32.0,0.818
Czech Republic,21.0,28.0,49.0,42.86,57.14,213.091,20164.5,30.0,0.82
Denmark,16.0,41.0,57.0,28.07,71.93,333.182,59171.0,3.0,0.8909999999999999
Egypt,2.0,3.0,5.0,40.0,60.0,246.455,2742.2,151.0,0.583
Estonia,1.0,6.0,7.0,14.29,85.71,24.28,18339.2,12.0,0.873
Ethiopia,10.0,5.0,15.0,66.67,33.33,49.62,504.7,121.0,0.6509999999999999
Finland,36.0,50.0,86.0,41.86,58.14,261.091,48097.8,3.0,0.8909999999999999
France,70.0,140.0,210.0,33.33,66.67,2702.727,41060.4,20.0,0.847
Germany,138.0,205.0,343.0,40.23,59.77,3623.636,44427.4,17.0,0.856
